School name,Country,Intl GPA,US GPA,Tier
Sardar Patel Institute of Technology - 10-point scale,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
Sardar Patel Institute of Technology - Percentage Scale,India,100/70/60/50,4.0/3.6/3.0/2.0,Tier III College
Sardar Vallabhbhai National Institute of Technology,India,10/9/8/7/6,4.0/3.6/3.0/2.6/2.0,Tier III College
Sastra University,India,10/8/7/6,4.0/3.6/3.0/2.0,Tier II College
Sathyabama University,India,10/9/8/7/6,4.0/3.7/3.3/3.0/2.0,Tier III College
Savitribai Phule Pune University (formerly University of Pune),India,100/66/60/55/50,4.0/3.6/3.0/2.7/2.0,Tier III College
Shiv Nadar University,India,10/8.5/7.5/6.5/5.5,4.0/3.7/3.0/2.7/2.0,Tier III College
Shivajirao S Jondhale College of Engineering,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
Shri Guru Gobind Singhji Institute of Engineering and Technology,India,10/9/8/7/6/5/4,4.0/3.7/3.3/3.0/2.3/2.0/1.0,Tier III College
Shri Ramdeobaba College of Engineering and Management,India,10/9/8/7/6,4.0/3.6/3.0/2.7/2.0,Tier II College
SIES Graduate School of Technology,India,10/9/8/7,4.0/3.7/3.0/2.0,Tier III College
Sinhgad Institute of Technology,India,100/60/55/50/40,4.0/3.6/3.3/3.0/2.0,Tier III College
Sri Jayachamarajendra College of Engineering,India,10/7.75/6.75/5,4.0/3.6/3.0/2.0,Tier III College
SRM Institute of Science and Technology,India,10/9/8/7/6/5,4.0/3.9/3.6/3.3/3.0/2.0,Tier III College
SRM University,India,10/9/8.5/8/7.5/7/6.5,4.0/3.7/3.3/3.0/2.7/2.3/2.0,Tier III College
St Francis Institute of Technology,India,100/60/50/40,4.0/3.6/3.0/2.0,Tier III College
Symbiosis International University,India,10/9/8/7/6/5,4.0/3.9/3.6/3.3/3.0/2.0,Tier III College
Thadomal Shahani Engineering College,India,10/9/8/7/6/5,4.0/3.7/3.3/3.0/2.3/2.0,Tier III College
Thakur College of Engineering and Technology,India,100/70/60/50,4.0/3.6/3.0/2.0,Tier III College
Thapar Institute of Engineering and Technology,India,100/70/60/50,4.0/3.0/2.0,Tier III College
